Vehicle_ID,Frame_ID,Total_Frames,Global_Time,Local_X,Local_Y,Global_X,Global_Y,v_length,v_Width,v_Class,v_Vel,v_Acc,Lane_ID,O_Zone,D_Zone,Int_ID,Section_ID,Direction,Movement,Preceding,Following,Space_Headway,Time_Headway,Location,time_s,leader_id,gap_distance,leader_vel,rel_vel,time_headway_s,ttc_s,is_near_collision,is_sudden_braking,is_lane_change_point,is_car_following_candidate
1333,3789,323,1118847357800,71.02,501.693,6451432.816,1872974.251,12.0,6.0,2,56.45,0.0,7,,,,,,,0,0,0.0,0,us-101,1118847357.8,,,,,,inf,False,False,False,False
1333,3790,323,1118847357900,70.719,507.207,6451437.127,1872970.799,12.0,6.0,2,56.45,0.0,7,,,,,,,0,0,0.0,0,us-101,1118847357.9,,,,,,inf,False,False,False,False
1333,3791,323,1118847358000,70.42,512.722,6451441.437,1872967.346,12.0,6.0,2,56.45,0.0,7,,,,,,,0,0,0.0,0,us-101,1118847358.0,,,,,,inf,False,False,False,False
1333,3792,323,1118847358100,70.12,518.237,6451445.748,1872963.893,12.0,6.0,2,56.45,0.0,7,,,,,,,0,0,0.0,0,us-101,1118847358.1,,,,,,inf,False,False,False,False
1333,3793,323,1118847358200,69.82,523.751,6451450.058,1872960.441,12.0,6.0,2,56.45,0.0,7,,,,,,,0,0,0.0,0,us-101,1118847358.2,,,,,,inf,False,False,False,False
1333,3794,323,1118847358300,69.51,529.291,6451454.374,1872956.996,12.0,6.0,2,56.45,10.7,7,,,,,,,0,0,0.0,0,us-101,1118847358.3,,,,,,inf,False,False,False,False
1333,3795,323,1118847358400,69.194,534.995,6451458.828,1872953.437,12.0,6.0,2,57.62,11.2,7,,,,,,,0,0,0.0,0,us-101,1118847358.4,,,,,,inf,False,False,False,False
1333,3796,323,1118847358500,68.9,540.814,6451463.379,1872949.761,12.0,6.0,2,58.86,11.2,7,,,,,,,0,0,0.0,0,us-101,1118847358.5,,,,,,inf,False,False,False,False
1333,3797,323,1118847358600,68.604,546.789,6451468.026,1872946.002,12.0,6.0,2,59.72,6.13,7,,,,,,,0,0,0.0,0,us-101,1118847358.6,,,,,,inf,False,False,False,False
1333,3798,323,1118847358700,68.256,552.833,6451472.796,1872942.204,12.0,6.0,2,60.03,-0.1,7,,,,,,,0,0,0.0,0,us-101,1118847358.7,,,,,,inf,False,False,False,False
1333,3799,323,1118847358800,67.875,558.861,6451477.541,1872938.471,12.0,6.0,2,59.91,-3.44,7,,,,,,,0,0,0.0,0,us-101,1118847358.8,,,,,,inf,False,True,False,False
1333,3800,323,1118847358900,67.417,564.826,6451482.282,1872934.846,12.0,6.0,2,59.69,-1.72,7,,,,,,,0,0,0.0,0,us-101,1118847358.9,,,,,,inf,False,False,False,False
1333,3801,323,1118847359000,66.931,570.773,6451487.02,1872931.26,12.0,6.0,2,59.6,0.41,7,,,,,,,0,0,0.0,0,us-101,1118847359.0,,,,,,inf,False,False,False,False
1333,3802,323,1118847359100,66.473,576.757,6451491.761,1872927.635,12.0,6.0,2,59.38,-3.25,7,,,,,,,0,0,0.0,0,us-101,1118847359.1,,,,,,inf,False,True,False,False
1333,3803,323,1118847359200,66.131,582.726,6451496.503,1872923.853,12.0,6.0,2,58.6,-11.2,7,,,,,,,0,0,0.0,0,us-101,1118847359.2,,,,,,inf,False,True,False,False
1333,3804,323,1118847359300,65.858,588.491,6451501.046,1872920.156,12.0,6.0,2,57.09,-11.2,7,,,,,,,0,0,0.0,0,us-101,1118847359.3,,,,,,inf,False,True,False,False
1333,3805,323,1118847359400,65.584,594.097,6451505.414,1872916.617,12.0,6.0,2,55.1,-11.2,7,,,,,,,0,0,0.0,0,us-101,1118847359.4,,,,,,inf,False,True,False,False
1333,3806,323,1118847359500,65.331,599.521,6451509.594,1872913.219,12.0,6.0,2,53.19,-11.2,7,,,,,,,0,0,0.0,0,us-101,1118847359.5,,,,,,inf,False,True,False,False
1333,3807,323,1118847359600,65.127,604.773,6451513.581,1872909.927,12.0,6.0,2,51.63,-11.2,7,,,,,,,0,0,0.0,0,us-101,1118847359.6,,,,,,inf,False,True,False,False
1333,3808,323,1118847359700,65.058,609.872,6451517.424,1872906.583,12.0,6.0,2,50.41,-10.47,7,,,,,,,0,0,0.0,0,us-101,1118847359.7,,,,,,inf,False,True,False,False
1333,3809,323,1118847359800,65.003,614.833,6451521.192,1872903.286,12.0,6.0,2,49.61,-6.39,7,,,,,,,0,0,0.0,0,us-101,1118847359.8,,,,,,inf,False,True,False,False
1333,3810,323,1118847359900,64.888,619.753,6451524.873,1872900.149,12.0,6.0,2,49.04,-4.53,6,,,,,,,"1,317",0,137.55,2.8,us-101,1118847359.9,1317.0,137.55499999999995,60.0,-10.96,2.8049551386623155,inf,False,True,True,False
1333,3811,323,1118847360000,64.774,624.605,6451528.582,1872896.985,12.0,6.0,2,48.72,-1.21,6,,,,,,,"1,317",0,138.7,2.85,us-101,1118847360.0,1317.0,138.69899999999996,60.03,-11.310000000000002,2.8468596059113294,inf,False,False,False,False
1333,3812,323,1118847360100,64.672,629.422,6451532.376,1872893.729,12.0,6.0,2,49.13,6.82,6,,,,,,,"1,317",0,139.88,2.85,us-101,1118847360.1,1317.0,139.88400000000001,60.12,-10.989999999999995,2.847221656828822,inf,False,False,False,False
1333,3813,323,1118847360200,64.649,634.354,6451536.236,1872890.325,12.0,6.0,2,50.08,11.2,6,,,,,,,"1,317",0,140.97,2.81,us-101,1118847360.2,1317.0,140.96899999999994,60.21,-10.130000000000003,2.814876198083066,inf,False,False,False,False
1333,3814,323,1118847360300,64.635,639.415,6451540.215,1872886.851,12.0,6.0,2,51.2,11.2,6,,,,,,,"1,317",0,141.94,2.77,us-101,1118847360.3,1317.0,141.93900000000008,60.28,-9.079999999999998,2.7722460937500015,inf,False,False,False,False
