Vehicle_ID,Frame_ID,Total_Frames,Global_Time,Local_X,Local_Y,Global_X,Global_Y,v_length,v_Width,v_Class,v_Vel,v_Acc,Lane_ID,O_Zone,D_Zone,Int_ID,Section_ID,Direction,Movement,Preceding,Following,Space_Headway,Time_Headway,Location,time_s,leader_id,gap_distance,leader_vel,rel_vel,time_headway_s,ttc_s,is_near_collision,is_sudden_braking,is_lane_change_point,is_car_following_candidate,ego_Local_Y,is_ego,scenario_label,distance_from_ego_y
992,2537,479,1118847232600,55.011,432.586,6451391.988,1873033.464,16.5,8.4,2,44.06,-9.93,5,,,,,,,982,998,151.45,3.44,us-101,1118847232.6,982.0,151.447,42.4,1.6600000000000037,3.43729005901044,91.23313253012029,False,True,False,False,370.138,False,car_following,62.448000000000036
998,2537,479,1118847232600,52.506,370.138,6451347.752,1873077.638,13.5,6.9,2,39.99,0.0,5,,,,,,,992,"1,002",62.45,1.56,us-101,1118847232.6,992.0,62.448000000000036,44.06,-4.07,1.5615903975994008,inf,False,False,False,True,370.138,True,car_following,0.0
1000,2537,470,1118847232600,40.655,442.364,6451408.909,1873037.393,50.0,8.5,3,30.18,2.37,4,,,,,,,986,"1,007",101.37,3.36,us-101,1118847232.6,986.0,101.36700000000002,36.15,-5.969999999999999,3.3587475149105375,inf,False,False,False,False,370.138,False,car_following,72.226
1002,2537,465,1118847232600,51.645,313.058,6451306.08,1873118.465,15.0,7.9,2,37.0,4.35,5,,,,,,,998,"1,003",57.08,1.54,us-101,1118847232.6,998.0,57.079999999999984,39.99,-2.990000000000002,1.5427027027027023,inf,False,False,False,True,370.138,False,car_following,-57.079999999999984
1006,2537,483,1118847232600,17.641,454.847,6451433.699,1873045.843,13.5,6.9,2,37.16,-11.2,2,,,,,,,"1,001","1,014",46.68,1.26,us-101,1118847232.6,1001.0,46.68100000000004,36.05,1.1099999999999994,1.2562163616792261,42.054954954955015,False,True,False,True,370.138,False,car_following,84.709
1007,2537,425,1118847232600,39.843,324.359,6451322.42,1873119.085,16.0,7.4,2,34.99,0.11,4,,,,,,,"1,000","3,105",118.01,3.37,us-101,1118847232.6,1000.0,118.005,30.18,4.810000000000002,3.3725350100028577,24.53326403326402,False,False,False,False,370.138,False,car_following,-45.778999999999996
1011,2537,620,1118847232600,27.592,432.84,6451410.733,1873053.476,13.5,6.4,2,32.11,2.62,3,,,,,,,"1,008","1,021",48.37,1.51,us-101,1118847232.6,1008.0,48.36700000000002,35.01,-2.8999999999999986,1.5062908751167867,inf,False,False,False,True,370.138,False,car_following,62.702
1014,2537,509,1118847232600,19.608,375.886,6451374.26,1873097.946,16.0,7.9,2,30.85,-0.26,2,,,,,,,"1,006","1,023",78.96,2.56,us-101,1118847232.6,1006.0,78.96099999999996,37.16,-6.309999999999995,2.5595137763371136,inf,False,False,False,False,370.138,False,car_following,5.748000000000047
1021,2537,609,1118847232600,32.587,376.039,6451365.58,1873088.296,15.5,4.9,2,30.86,7.1,3,,,,,,,"1,011","1,027",56.8,1.84,us-101,1118847232.6,1011.0,56.80099999999999,32.11,-1.25,1.8406027219701875,inf,False,False,False,True,370.138,False,car_following,5.9010000000000105
1027,2537,577,1118847232600,29.395,337.295,6451338.98,1873117.61,12.0,5.5,2,35.03,0.13,3,,,,,,,"1,021","1,036",38.74,1.11,us-101,1118847232.6,1021.0,38.74399999999997,30.86,4.170000000000002,1.106023408506993,9.291127098321333,False,False,False,True,370.138,False,car_following,-32.84299999999996
1031,2537,607,1118847232600,5.175,441.387,6451432.22,1873064.159,14.5,4.9,2,33.97,-1.68,1,,,,,,,"1,025","1,033",55.35,1.63,us-101,1118847232.6,1025.0,55.351,39.7,-5.730000000000004,1.6294083014424492,inf,False,False,False,True,370.138,False,car_following,71.24900000000002
1033,2537,611,1118847232600,5.265,382.09,6451388.546,1873104.286,12.5,5.0,2,34.63,4.05,1,,,,,,,"1,031","1,039",59.3,1.71,us-101,1118847232.6,1031.0,59.297000000000025,33.97,0.6600000000000037,1.7123014727115224,89.84393939393892,False,False,False,True,370.138,False,car_following,11.951999999999998
1039,2537,606,1118847232600,7.091,345.747,6451360.567,1873127.765,14.0,4.9,2,34.31,-7.26,1,,,,,,,"1,033","1,047",36.34,1.06,us-101,1118847232.6,1033.0,36.34299999999996,34.63,-0.3200000000000003,1.0592538618478566,inf,False,True,False,True,370.138,False,car_following,-24.390999999999963
1047,2537,640,1118847232600,5.487,302.56,6451330.638,1873158.922,15.0,6.4,2,32.24,-10.71,1,,,,,,,"1,039","1,053",43.19,1.34,us-101,1118847232.6,1039.0,43.18700000000001,34.31,-2.0700000000000003,1.3395471464019855,inf,False,True,False,True,370.138,False,car_following,-67.57799999999997
992,2538,479,1118847232700,54.992,436.936,6451395.232,1873030.501,16.5,8.4,2,42.87,-11.2,5,,,,,,,982,998,151.26,3.53,us-101,1118847232.7,982.0,151.26000000000005,41.79,1.0799999999999983,3.528341497550736,140.05555555555583,False,True,False,False,374.137,False,car_following,62.79899999999998
998,2538,479,1118847232700,52.592,374.137,6451350.635,1873074.864,13.5,6.9,2,39.99,0.0,5,,,,,,,992,"1,002",62.8,1.57,us-101,1118847232.7,992.0,62.79899999999998,42.87,-2.8799999999999955,1.5703675918979738,inf,False,False,False,True,374.137,True,car_following,0.0
1000,2538,470,1118847232700,40.412,445.367,6451411.265,1873035.552,50.0,8.5,3,30.64,6.59,4,,,,,,,986,"1,007",101.89,3.33,us-101,1118847232.7,986.0,101.88999999999993,34.63,-3.990000000000002,3.325391644908614,inf,False,False,False,False,374.137,False,car_following,71.23000000000002
1002,2538,465,1118847232700,51.616,316.764,6451308.757,1873115.918,15.0,7.9,2,37.48,6.34,5,,,,,,,998,"1,003",57.37,1.53,us-101,1118847232.7,998.0,57.37299999999999,39.99,-2.510000000000005,1.530763073639274,inf,False,False,False,True,374.137,False,car_following,-57.37299999999999
1006,2538,483,1118847232700,17.589,458.506,6451436.411,1873043.415,13.5,6.9,2,35.97,-11.2,2,,,,,,,"1,001","1,014",46.59,1.3,us-101,1118847232.7,1001.0,46.59200000000004,35.48,0.490000000000002,1.29530164025577,95.08571428571399,False,True,False,True,374.137,False,car_following,84.36899999999997
1007,2538,425,1118847232700,39.835,327.859,6451324.942,1873116.659,16.0,7.4,2,35.0,0.0,4,,,,,,,"1,000","3,105",117.51,3.36,us-101,1118847232.7,1000.0,117.50800000000004,30.64,4.359999999999999,3.3573714285714296,26.951376146789002,False,False,False,False,374.137,False,car_following,-46.27800000000002
1011,2538,620,1118847232700,27.643,436.041,6451413.041,1873051.28,13.5,6.4,2,32.48,5.81,3,,,,,,,"1,008","1,021",48.69,1.5,us-101,1118847232.7,1008.0,48.69,34.75,-2.270000000000003,1.499076354679803,inf,False,False,False,True,374.137,False,car_following,61.903999999999996
1014,2538,509,1118847232700,19.564,378.945,6451376.549,1873095.896,16.0,7.9,2,30.97,3.18,2,,,,,,,"1,006","1,023",79.56,2.57,us-101,1118847232.7,1006.0,79.56099999999998,35.97,-5.0,2.5689699709396185,inf,False,False,False,False,374.137,False,car_following,4.807999999999993
1021,2538,609,1118847232700,32.58,379.149,6451367.883,1873086.183,15.5,4.9,2,31.62,8.53,3,,,,,,,"1,011","1,027",56.89,1.8,us-101,1118847232.7,1011.0,56.891999999999996,32.48,-0.8599999999999959,1.7992409867172674,inf,False,False,False,True,374.137,False,car_following,5.0120000000000005
1027,2538,577,1118847232700,29.388,340.812,6451341.502,1873115.183,12.0,5.5,2,34.91,-1.95,3,,,,,,,"1,021","1,036",38.34,1.1,us-101,1118847232.7,1021.0,38.33699999999999,31.62,3.2899999999999956,1.0981667144084788,11.652583586626152,False,False,False,True,374.137,False,car_following,-33.32499999999999
