Vehicle_ID,Frame_ID,Total_Frames,Global_Time,Local_X,Local_Y,Global_X,Global_Y,v_length,v_Width,v_Class,v_Vel,v_Acc,Lane_ID,O_Zone,D_Zone,Int_ID,Section_ID,Direction,Movement,Preceding,Following,Space_Headway,Time_Headway,Location,time_s,leader_id,gap_distance,leader_vel,rel_vel,time_headway_s,ttc_s,is_near_collision,is_sudden_braking,is_lane_change_point,is_car_following_candidate,ego_Local_Y,is_ego,scenario_label,distance_from_ego_y
981,2465,474,1118847225400,42.133,387.399,6451367.475,1873073.568,13.0,8.4,2,34.99,0.0,4,,,,,,,978,986,53.06,1.52,us-101,1118847225.4,978.0,53.06400000000002,37.14,-2.1499999999999986,1.516547585024293,inf,False,False,False,True,312.305,False,lane_change,75.094
982,2465,477,1118847225400,55.68,279.364,6451279.058,1873138.97,15.0,6.9,2,43.93,2.72,5,,,,,,,975,992,150.65,3.43,us-101,1118847225.4,975.0,150.65000000000003,44.12,-0.18999999999999773,3.4293193717277495,inf,False,False,False,False,312.305,False,lane_change,-32.94100000000003
986,2465,481,1118847225400,42.553,291.453,6451296.888,1873139.993,24.5,8.5,3,36.41,5.33,4,,,,,,,981,"1,000",95.95,2.64,us-101,1118847225.4,981.0,95.94600000000003,34.99,1.4199999999999946,2.635155177149136,67.5676056338031,False,False,False,False,312.305,False,lane_change,-20.852000000000032
989,2465,625,1118847225400,28.53,395.725,6451382.816,1873077.928,57.5,8.5,3,34.99,0.0,3,,,,,,,977,996,135.52,3.87,us-101,1118847225.4,977.0,135.52300000000002,34.98,0.010000000000005116,3.873192340668763,13552.299999993069,False,False,False,False,312.305,False,lane_change,83.42000000000002
990,2465,460,1118847225400,17.448,379.43,6451378.376,1873097.09,20.0,7.4,2,35.24,-11.2,2,,,,,,,983,"1,001",49.01,1.39,us-101,1118847225.4,983.0,49.00599999999997,34.89,0.3500000000000014,1.3906356413166847,140.0171428571422,False,True,False,True,312.305,False,lane_change,67.125
991,2465,454,1118847225400,7.941,312.305,6451335.911,1873150.414,13.0,7.4,2,30.03,-1.67,1,,,,,,,"1,016","1,025",44.29,1.47,us-101,1118847225.4,1016.0,44.28800000000001,29.71,0.3200000000000003,1.4747918747918751,138.39999999999992,False,False,False,True,312.305,True,lane_change,0.0
996,2465,552,1118847225400,26.667,307.892,6451319.743,1873139.997,14.5,8.5,2,35.62,-5.63,3,,,,,,,989,"1,008",87.83,2.47,us-101,1118847225.4,989.0,87.83300000000003,34.99,0.6299999999999955,2.465833801235262,139.41746031746138,False,True,False,False,312.305,False,lane_change,-4.413000000000011
1001,2465,482,1118847225400,17.263,225.312,6451266.622,1873204.893,16.5,4.9,2,42.27,-8.5,2,,,,,,,990,"1,006",154.12,3.65,us-101,1118847225.4,990.0,154.118,35.24,7.030000000000001,3.646037378755618,21.922901849217634,False,True,False,False,312.305,False,lane_change,-86.993
1008,2465,617,1118847225400,28.034,231.186,6451263.19,1873192.9,21.5,8.5,3,31.66,-11.2,3,,,,,,,996,"1,011",76.71,2.42,us-101,1118847225.4,996.0,76.70599999999999,35.62,-3.9599999999999973,2.422804801010739,inf,False,True,False,False,312.305,False,lane_change,-81.119
1012,2465,619,1118847225400,6.45,404.119,6451403.952,1873088.476,14.5,6.4,2,34.99,0.0,1,,,,,,,"1,005","1,016",47.21,1.35,us-101,1118847225.4,1005.0,47.20599999999996,38.48,-3.489999999999995,1.349128322377821,inf,False,False,False,True,312.305,False,lane_change,91.81400000000002
1016,2465,633,1118847225400,6.776,356.593,6451368.783,1873120.444,10.0,6.0,2,29.71,2.57,1,,,,,,,"1,012",991,47.53,1.6,us-101,1118847225.4,1012.0,47.52600000000001,34.99,-5.280000000000001,1.599663412992259,inf,False,False,False,True,312.305,False,lane_change,44.28800000000001
1025,2465,612,1118847225400,6.304,236.268,6451282.316,1873204.489,14.0,5.4,2,37.98,5.87,1,,,,,,,991,"1,031",76.04,2,us-101,1118847225.4,991.0,76.037,30.03,7.949999999999996,2.0020273828330706,9.564402515723277,False,False,False,False,312.305,False,lane_change,-76.037
981,2466,474,1118847225500,42.208,390.898,6451369.997,1873071.141,13.0,8.4,2,34.99,0.0,4,,,,,,,978,986,53.35,1.52,us-101,1118847225.5,978.0,53.347999999999956,37.75,-2.759999999999998,1.524664189768504,inf,False,False,False,True,315.287,False,lane_change,75.61100000000005
982,2466,477,1118847225500,55.565,283.804,6451282.362,1873135.937,15.0,6.9,2,44.01,-2.08,5,,,,,,,975,992,150.66,3.42,us-101,1118847225.5,975.0,150.65800000000002,44.41,-0.3999999999999986,3.42326743921836,inf,False,False,False,False,315.287,False,lane_change,-31.483000000000004
986,2466,481,1118847225500,42.441,295.171,6451299.651,1873137.479,24.5,8.5,3,36.64,-1.95,4,,,,,,,981,"1,000",95.73,2.61,us-101,1118847225.5,981.0,95.72700000000003,34.99,1.6499999999999986,2.612636462882097,58.01636363636371,False,False,False,False,315.287,False,lane_change,-20.115999999999985
989,2466,625,1118847225500,28.604,399.224,6451385.339,1873075.502,57.5,8.5,3,34.99,0.0,3,,,,,,,977,996,135.52,3.87,us-101,1118847225.5,977.0,135.522,34.98,0.010000000000005116,3.873163761074592,13552.199999993067,False,False,False,False,315.287,False,lane_change,83.93700000000001
990,2466,460,1118847225500,17.5,382.897,6451380.884,1873094.708,20.0,7.4,2,34.08,-10.51,2,,,,,,,983,"1,001",49.03,1.44,us-101,1118847225.5,983.0,49.03000000000003,34.59,-0.5100000000000051,1.4386737089201886,inf,False,True,False,True,315.287,False,lane_change,67.61000000000001
991,2466,454,1118847225500,7.927,315.287,6451338.08,1873148.336,13.0,7.4,2,29.92,-0.08,1,,,,,,,"1,016","1,025",44.3,1.48,us-101,1118847225.5,1016.0,44.29600000000005,29.91,0.010000000000001563,1.4804812834224614,4429.599999999313,False,False,False,True,315.287,True,lane_change,0.0
996,2466,552,1118847225500,26.659,311.409,6451322.265,1873137.571,14.5,8.5,2,35.2,-2.96,3,,,,,,,989,"1,008",87.81,2.49,us-101,1118847225.5,989.0,87.815,34.99,0.21000000000000085,2.494744318181818,418.166666666665,False,False,False,False,315.287,False,lane_change,-3.877999999999986
1001,2466,482,1118847225500,17.05,229.503,6451269.711,1873201.972,16.5,4.9,2,41.33,-10.38,2,,,,,,,990,"1,006",153.39,3.71,us-101,1118847225.5,990.0,153.394,34.08,7.25,3.711444471328333,21.157793103448277,False,True,False,False,315.287,False,lane_change,-85.78399999999999
1008,2466,617,1118847225500,28.038,234.193,6451265.537,1873190.481,21.5,8.5,3,31.17,6.29,3,,,,,,,996,"1,011",77.22,2.48,us-101,1118847225.5,996.0,77.21599999999998,35.2,-4.030000000000001,2.477253769650304,inf,False,False,False,False,315.287,False,lane_change,-81.09399999999997
1012,2466,619,1118847225500,6.525,407.62,6451406.474,1873086.05,14.5,6.4,2,34.98,-0.26,1,,,,,,,"1,005","1,016",47.6,1.36,us-101,1118847225.5,1005.0,47.603999999999985,38.88,-3.9000000000000057,1.3608919382504285,inf,False,False,False,True,315.287,False,lane_change,92.33300000000003
1016,2466,633,1118847225500,6.84,359.583,6451370.945,1873118.364,10.0,6.0,2,29.91,1.36,1,,,,,,,"1,012",991,48.04,1.61,us-101,1118847225.5,1012.0,48.03699999999998,34.98,-5.069999999999997,1.6060514877967227,inf,False,False,False,True,315.287,False,lane_change,44.29600000000005
1025,2466,612,1118847225500,6.248,240.086,6451285.18,1873201.799,14.0,5.4,2,38.5,6.32,1,,,,,,,991,"1,031",75.2,1.95,us-101,1118847225.5,991.0,75.20099999999996,29.92,8.579999999999998,1.9532727272727264,8.764685314685313,False,False,False,True,315.287,False,lane_change,-75.20099999999996
981,2467,474,1118847225600,42.282,394.397,6451372.52,1873068.715,13.0,8.4,2,34.99,0.0,4,,,,,,,978,986,53.67,1.53,us-101,1118847225.6,978.0,53.668000000000006,38.02,-3.030000000000001,1.5338096599028295,inf,False,False,False,True,318.271,False,lane_change,76.12599999999998
982,2467,477,1118847225600,55.332,288.199,6451285.662,1873133.071,15.0,6.9,2,43.87,-1.98,5,,,,,,,975,992,150.73,3.44,us-101,1118847225.6,975.0,150.72499999999997,44.51,-0.6400000000000006,3.4357191702758145,inf,False,False,False,False,318.271,False,lane_change,-30.072000000000003
986,2467,481,1118847225600,42.191,298.832,6451302.453,1873135.118,24.5,8.5,3,36.53,-2.04,4,,,,,,,981,"1,000",95.56,2.62,us-101,1118847225.6,981.0,95.565,34.99,1.5399999999999991,2.6160689843963865,62.05519480519484,False,False,False,False,318.271,False,lane_change,-19.43900000000002
989,2467,625,1118847225600,28.68,402.724,6451387.861,1873073.075,57.5,8.5,3,34.99,0.0,3,,,,,,,977,996,135.52,3.87,us-101,1118847225.6,977.0,135.52000000000004,34.98,0.010000000000005116,3.873106601886254,13551.999999993071,False,False,False,False,318.271,False,lane_change,84.45299999999997
990,2467,460,1118847225600,17.475,386.193,6451383.299,1873092.517,20.0,7.4,2,33.53,-1.37,2,,,,,,,983,"1,001",49.17,1.47,us-101,1118847225.6,983.0,49.16700000000003,34.3,-0.769999999999996,1.4663584849388616,inf,False,False,False,True,318.271,False,lane_change,67.92199999999997
991,2467,454,1118847225600,7.915,318.271,6451340.237,1873146.269,13.0,7.4,2,29.99,1.16,1,,,,,,,"1,016","1,025",44.32,1.48,us-101,1118847225.6,1016.0,44.32099999999997,29.99,0.0,1.4778592864288087,inf,False,False,False,True,318.271,True,lane_change,0.0
996,2467,552,1118847225600,26.647,314.896,6451324.78,1873135.156,14.5,8.5,2,35.0,-0.52,3,,,,,,,989,"1,008",87.83,2.51,us-101,1118847225.6,989.0,87.82799999999997,34.99,0.00999999999999801,2.509371428571428,8782.800000001746,False,False,False,False,318.271,False,lane_change,-3.375
1001,2467,482,1118847225600,16.852,233.547,6451272.79,1873199.027,16.5,4.9,2,40.81,-3.62,2,,,,,,,990,"1,006",152.65,3.74,us-101,1118847225.6,990.0,152.646,33.53,7.280000000000001,3.740406763048272,20.967857142857138,False,True,False,False,318.271,False,lane_change,-84.72400000000002
1008,2467,617,1118847225600,28.159,237.318,6451267.897,1873188.031,21.5,8.5,3,32.0,11.2,3,,,,,,,996,"1,011",77.58,2.42,us-101,1118847225.6,996.0,77.578,35.0,-3.0,2.4243125,inf,False,False,False,False,318.271,False,lane_change,-80.953
1012,2467,619,1118847225600,6.601,411.114,6451408.996,1873083.623,14.5,6.4,2,34.96,-0.09,1,,,,,,,"1,005","1,016",48.02,1.37,us-101,1118847225.6,1005.0,48.025000000000034,39.03,-4.07,1.37371281464531,inf,False,False,False,True,318.271,False,lane_change,92.84299999999996
1016,2467,633,1118847225600,6.905,362.592,6451373.107,1873116.284,10.0,6.0,2,29.99,0.0,1,,,,,,,"1,012",991,48.52,1.62,us-101,1118847225.6,1012.0,48.52199999999999,34.96,-4.970000000000002,1.617939313104368,inf,False,False,False,True,318.271,False,lane_change,44.32099999999997
1025,2467,612,1118847225600,6.203,243.992,6451288.024,1873199.113,14.0,5.4,2,38.97,2.58,1,,,,,,,991,"1,031",74.28,1.91,us-101,1118847225.6,991.0,74.27900000000002,29.99,8.98,1.9060559404670265,8.27160356347439,False,False,False,True,318.271,False,lane_change,-74.27900000000002
981,2468,474,1118847225700,42.358,397.896,6451375.042,1873066.288,13.0,8.4,2,34.99,0.0,4,,,,,,,978,986,53.98,1.54,us-101,1118847225.7,978.0,53.97999999999996,38.06,-3.0700000000000003,1.542726493283794,inf,False,False,False,True,321.263,False,lane_change,76.63300000000004
982,2468,477,1118847225700,55.052,292.563,6451288.967,1873130.266,15.0,6.9,2,43.76,0.18,5,,,,,,,975,992,150.81,3.45,us-101,1118847225.7,975.0,150.813,44.52,-0.7600000000000051,3.446366544789762,inf,False,False,False,False,321.263,False,lane_change,-28.69999999999999
986,2468,481,1118847225700,41.822,302.444,6451305.269,1873132.909,24.5,8.5,3,36.57,2.73,4,,,,,,,981,"1,000",95.45,2.61,us-101,1118847225.7,981.0,95.452,34.99,1.5799999999999983,2.610117582718075,60.41265822784816,False,False,False,False,321.263,False,lane_change,-18.81899999999996
989,2468,625,1118847225700,28.754,406.223,6451390.384,1873070.649,57.5,8.5,3,34.99,0.0,3,,,,,,,977,996,135.52,3.87,us-101,1118847225.7,977.0,135.52000000000004,34.97,0.020000000000003126,3.873106601886254,6775.999999998943,False,False,False,False,321.263,False,lane_change,84.96000000000004
990,2468,460,1118847225700,17.477,389.488,6451385.688,1873090.312,20.0,7.4,2,33.71,6.17,2,,,,,,,983,"1,001",49.26,1.46,us-101,1118847225.7,983.0,49.25799999999998,34.27,-0.5600000000000023,1.4612281222189256,inf,False,False,False,True,321.263,False,lane_change,68.22500000000002
991,2468,454,1118847225700,7.941,321.263,6451342.362,1873144.179,13.0,7.4,2,30.21,3.16,1,,,,,,,"1,016","1,025",44.33,1.47,us-101,1118847225.7,1016.0,44.32800000000003,29.99,0.22000000000000242,1.4673286991062573,201.49090909090702,False,False,False,True,321.263,True,lane_change,0.0
996,2468,552,1118847225700,26.639,318.388,6451327.302,1873132.73,14.5,8.5,2,34.98,0.21,3,,,,,,,989,"1,008",87.83,2.51,us-101,1118847225.7,989.0,87.83500000000004,34.99,-0.010000000000005116,2.5110062893081775,inf,False,False,False,False,321.263,False,lane_change,-2.875
