Vehicle_ID,Frame_ID,Total_Frames,Global_Time,Local_X,Local_Y,Global_X,Global_Y,v_length,v_Width,v_Class,v_Vel,v_Acc,Lane_ID,O_Zone,D_Zone,Int_ID,Section_ID,Direction,Movement,Preceding,Following,Space_Headway,Time_Headway,Location,time_s,leader_id,gap_distance,leader_vel,rel_vel,time_headway_s,ttc_s,is_near_collision,is_sudden_braking,is_lane_change_point,is_car_following_candidate
2753,8306,815,1118847809500,41.151,957.012,6451794.602,1872694.918,15.5,5.4,2,5.0,0.0,4,,,,,,,"2,748","2,759",67.16,13.43,us-101,1118847809.5,,,,,,inf,False,False,False,False
2753,8307,815,1118847809600,41.155,957.512,6451794.977,1872694.586,15.5,5.4,2,5.0,0.0,4,,,,,,,"2,748","2,759",68.61,13.72,us-101,1118847809.6,,,,,,inf,False,False,False,False
2753,8308,815,1118847809700,41.16,958.012,6451795.351,1872694.255,15.5,5.4,2,5.0,0.0,4,,,,,,,"2,748","2,759",70.12,14.02,us-101,1118847809.7,,,,,,inf,False,False,False,False
2753,8309,815,1118847809800,41.164,958.514,6451795.726,1872693.924,15.5,5.4,2,4.98,-0.26,4,,,,,,,"2,748","2,759",71.63,14.38,us-101,1118847809.8,,,,,,inf,False,False,False,False
2753,8310,815,1118847809900,41.167,959.009,6451796.101,1872693.593,15.5,5.4,2,4.97,-0.09,4,,,,,,,"2,748","2,759",73.14,14.72,us-101,1118847809.9,,,,,,inf,False,False,False,False
2753,8311,815,1118847810000,41.172,959.492,6451796.475,1872693.262,15.5,5.4,2,5.1,2.04,4,,,,,,,"2,748","2,759",74.66,14.64,us-101,1118847810.0,,,,,,inf,False,False,False,False
2753,8312,815,1118847810100,41.175,959.985,6451796.828,1872692.951,15.5,5.4,2,5.53,6.27,4,,,,,,,"2,748","2,759",76.16,13.77,us-101,1118847810.1,,,,,,inf,False,False,False,False
2753,8313,815,1118847810200,41.139,960.54,6451797.264,1872692.62,15.5,5.4,2,6.36,10.72,4,,,,,,,"2,748","2,759",77.61,12.2,us-101,1118847810.2,,,,,,inf,False,False,False,False
2753,8314,815,1118847810300,41.122,961.232,6451797.785,1872692.189,15.5,5.4,2,7.5,11.2,4,,,,,,,"2,748","2,759",78.9,10.52,us-101,1118847810.3,,,,,,inf,False,False,False,False
2753,8315,815,1118847810400,41.152,962.04,6451798.387,1872691.626,15.5,5.4,2,8.64,10.7,4,,,,,,,"2,748","2,759",80.09,9.27,us-101,1118847810.4,,,,,,inf,False,False,False,False
2753,8316,815,1118847810500,41.2,962.986,6451799.076,1872690.963,15.5,5.4,2,9.47,6.25,4,,,,,,,"2,748","2,759",81.2,8.57,us-101,1118847810.5,,,,,,inf,False,False,False,False
2753,8317,815,1118847810600,41.209,963.992,6451799.847,1872690.282,15.5,5.4,2,9.9,2.04,4,,,,,,,"2,748","2,759",82.35,8.32,us-101,1118847810.6,,,,,,inf,False,False,False,False
2753,8318,815,1118847810700,41.218,965.009,6451800.596,1872689.619,15.5,5.4,2,10.03,-0.06,4,,,,,,,"2,748","2,759",83.61,8.34,us-101,1118847810.7,,,,,,inf,False,False,False,False
2753,8319,815,1118847810800,41.226,966.013,6451801.345,1872688.957,15.5,5.4,2,10.02,-0.25,4,,,,,,,"2,748","2,759",85.01,8.48,us-101,1118847810.8,,,,,,inf,False,False,False,False
2753,8320,815,1118847810900,41.233,967.014,6451802.095,1872688.295,15.5,5.4,2,9.98,-0.28,4,,,,,,,"2,748","2,759",86.54,8.67,us-101,1118847810.9,,,,,,inf,False,False,False,False
2753,8321,815,1118847811000,41.242,968.009,6451802.844,1872687.632,15.5,5.4,2,9.97,-0.03,4,,,,,,,"2,748","2,759",88.2,8.85,us-101,1118847811.0,,,,,,inf,False,False,False,False
2753,8322,815,1118847811100,41.251,968.991,6451803.593,1872686.97,15.5,5.4,2,10.11,2.27,4,,,,,,,"2,748","2,759",90.01,8.9,us-101,1118847811.1,,,,,,inf,False,False,False,False
2753,8323,815,1118847811200,41.26,969.986,6451804.318,1872686.327,15.5,5.4,2,10.58,6.66,4,,,,,,,"2,748","2,759",91.92,8.69,us-101,1118847811.2,,,,,,inf,False,False,False,False
2753,8324,815,1118847811300,41.221,971.046,6451805.14,1872685.665,15.5,5.4,2,11.45,11.16,4,,,,,,,"2,748","2,759",93.8,8.19,us-101,1118847811.3,,,,,,inf,False,False,False,False
2753,8325,815,1118847811400,41.197,972.255,6451806.051,1872684.904,15.5,5.4,2,12.63,11.2,4,,,,,,,"2,748","2,759",95.5,7.56,us-101,1118847811.4,,,,,,inf,False,False,False,False
2753,8326,815,1118847811500,41.213,973.573,6451807.052,1872684.013,15.5,5.4,2,13.82,11.17,4,,,,,,,"2,748","2,759",97.09,7.03,us-101,1118847811.5,,,,,,inf,False,False,False,False
2753,8327,815,1118847811600,41.245,975.039,6451808.142,1872683.023,15.5,5.4,2,14.69,6.66,4,,,,,,,"2,745","2,759",33.56,2.28,us-101,1118847811.6,,,,,,inf,False,False,False,False
2753,8328,815,1118847811700,41.228,976.571,6451809.329,1872682.014,15.5,5.4,2,15.15,2.29,4,,,,,,,"2,752","2,759",18.12,1.2,us-101,1118847811.7,2752.0,18.117999999999938,0.0,15.15,1.1959075907590717,1.1959075907590717,True,False,False,True
2753,8329,815,1118847811800,41.212,978.116,6451810.492,1872681.024,15.5,5.4,2,15.3,0.0,4,,,,,,,"2,752","2,759",16.57,1.08,us-101,1118847811.8,2752.0,16.57299999999998,0.0,15.3,1.0832026143790836,1.0832026143790836,True,False,False,True
