Vehicle_ID,Frame_ID,Total_Frames,Global_Time,Local_X,Local_Y,Global_X,Global_Y,v_length,v_Width,v_Class,v_Vel,v_Acc,Lane_ID,O_Zone,D_Zone,Int_ID,Section_ID,Direction,Movement,Preceding,Following,Space_Headway,Time_Headway,Location,time_s,leader_id,gap_distance,leader_vel,rel_vel,time_headway_s,ttc_s,is_near_collision,is_sudden_braking,is_lane_change_point,is_car_following_candidate,ego_Local_Y,is_ego,scenario_label,distance_from_ego_y
2869,8277,780,1118847806600,50.789,74.478,6451138.247,1873292.932,14.5,6.9,2,32.9,-9.14,5,,,,,,,"2,863",0,82.21,2.5,us-101,1118847806.6,2863.0,82.21400000000001,25.0,7.899999999999999,2.4989057750759884,10.406835443037979,False,True,False,False,37.856,False,near_collision,36.62199999999999
2872,8277,777,1118847806600,30.11,98.384,6451170.05,1873288.642,17.0,4.9,2,29.72,4.52,3,,,,,,,"2,864","2,878",104.73,3.52,us-101,1118847806.6,2864.0,104.73299999999999,24.99,4.73,3.5239905787348587,22.142283298097247,False,False,False,False,37.856,False,near_collision,60.528
2878,8277,808,1118847806600,28.119,37.516,6451130.4,1873335.586,11.0,6.0,2,32.28,0.0,3,,,,,,,"2,872",0,60.87,1.89,us-101,1118847806.6,2872.0,60.868,29.72,2.5600000000000023,1.8856257744733582,23.77656249999998,False,False,False,True,37.856,False,near_collision,-0.3400000000000034
2879,8277,803,1118847806600,20.421,121.575,6451192.918,1873278.284,12.0,7.5,2,33.32,-8.13,2,,,,,,,"2,870","2,886",84.1,2.52,us-101,1118847806.6,2870.0,84.104,16.58,16.740000000000002,2.5241296518607443,5.024133811230585,False,True,False,False,37.856,False,near_collision,83.719
2880,8277,829,1118847806600,39.039,112.779,6451173.296,1873272.043,16.5,4.9,2,30.0,0.0,4,,,,,,,"2,874","2,894",69.33,2.31,us-101,1118847806.6,2874.0,69.33100000000002,25.27,4.73,2.311033333333334,14.65771670190275,False,False,False,False,37.856,False,near_collision,74.923
2886,8277,784,1118847806600,15.285,37.856,6451140.174,1873343.911,18.0,5.4,2,37.35,0.0,2,,,,,,,"2,879",0,83.72,2.24,us-101,1118847806.6,2879.0,83.719,33.32,4.030000000000001,2.2414725568942435,20.773945409429274,False,False,False,False,37.856,True,near_collision,0.0
2894,8277,840,1118847806600,36.631,56.995,6451137.081,1873315.414,13.5,5.9,2,20.35,4.29,4,,,,,,,"2,880",0,55.78,2.74,us-101,1118847806.6,2880.0,55.784,30.0,-9.649999999999999,2.741228501228501,inf,False,False,False,False,37.856,False,near_collision,19.138999999999996
2898,8277,954,1118847806600,6.259,129.825,6451208.907,1873281.889,16.5,6.4,2,35.5,-6.2,1,,,,,,,"2,881",0,133.13,3.75,us-101,1118847806.6,2881.0,133.12600000000003,23.76,11.739999999999998,3.7500281690140853,11.339522998296427,False,True,False,False,37.856,False,near_collision,91.969
2869,8278,780,1118847806700,50.736,77.701,6451140.432,1873290.579,14.5,6.9,2,32.17,-5.76,5,,,,,,,"2,863",0,81.49,2.53,us-101,1118847806.7,2863.0,81.49100000000001,25.0,7.170000000000002,2.533136462542742,11.36555090655509,False,True,False,False,41.856,False,near_collision,35.84499999999999
2872,8278,777,1118847806700,30.147,101.415,6451172.066,1873286.421,17.0,4.9,2,30.0,0.0,3,,,,,,,"2,864","2,878",104.2,3.47,us-101,1118847806.7,2864.0,104.20100000000001,24.99,5.010000000000002,3.4733666666666667,20.798602794411174,False,False,False,False,41.856,False,near_collision,59.559000000000005
